Model,Link,Dataset,Log-Likelihood,AIC,BIC,nobs,n_params,success,nit,grad_norm_inf,cov_status,min_info_eig,info_rank,message
Poisson,identity,H2AX4H100,-1305.5349257185617,2615.069851437124,2623.850332771254,596,2,True,5,9.479684154545254e-06,inverse,32.56495415316101,2,Optimization terminated successfully
Poisson,log,H2AX4H100,-1305.4081337130851,2614.8162674261703,2623.596748760301,596,2,True,7,5.410804629235599e-06,inverse,363.1621171927061,2,Optimization terminated successfully
NB,identity,H2AX4H100,-1302.6526742466388,2611.305348493277,2624.4760704944733,596,3,True,8,2.9922486196820582e-05,inverse,4.588388389002122,3,Optimization terminated successfully
NB,log,H2AX4H100,-1302.5439248474052,2611.0878496948103,2624.258571696006,596,3,True,11,0.0002821741884506,inverse,4.562601906869478,3,Optimization terminated successfully
ZIP,identity,H2AX4H100,-1223.251144101269,2454.502288202538,2472.063250870799,596,4,True,9,2.9533856710450838e-05,inverse,9.787100418610011,4,Optimization terminated successfully
ZIP,log,H2AX4H100,-1224.5668501208895,2457.1337002417795,2474.6946629100407,596,4,True,15,2.308722706256816e-05,inverse,9.91242045375865,4,Optimization terminated successfully
ZINB,identity,H2AX4H100,-1223.2510591754385,2456.502118350877,2478.453321686204,596,5,True,28,0.0001485686323411,indefinite_pinv_rank_4_of_5,-5.339115063004506e-05,4,Optimization terminated successfully
ZINB,log,H2AX4H100,-1224.566459949982,2459.132919899964,2481.0841232352905,596,5,True,28,9.165895880423687e-05,singular_pinv_rank_4_of_5,-9.70693094202828e-05,4,Optimization terminated successfully
P+NB,identity,H2AX4H100,-1224.597540294425,2461.19508058885,2487.536524591242,596,6,True,25,48.590051486775934,indefinite_pinv_rank_3_of_6,-3239819.188070899,3,Optimization terminated successfully
P+NB,log,H2AX4H100,-1225.7942659529908,2463.5885319059817,2489.9299759083738,596,6,True,80,1.239094393312712e-06,singular_pinv_rank_5_of_6,9.871032576595692e-09,5,Optimization terminated successfully
Z+P+NB,identity,H2AX4H100,-1223.251144110111,2462.502288220222,2497.624213556745,596,8,True,49,4.736390135029467e-05,indefinite_pinv_rank_4_of_8,-1.2645262307734585e-05,4,Optimization terminated successfully
Z+P+NB,log,H2AX4H100,-1224.566850131458,2465.133700262916,2500.255625599439,596,8,True,36,8.194486097679032e-06,singular_pinv_rank_4_of_8,-1.1403692500448182e-08,4,Optimization terminated successfully
ZIP--ZINB,identity,H2AX4H100,-1220.486652426117,2460.973304852234,2504.8757115228877,596,10,True,59,0.0004783008313365,inverse,2.403103405934413e-05,10,Optimization terminated successfully
ZIP--ZINB,log,H2AX4H100,-1221.8869825874126,2463.773965174825,2507.6763718454786,596,10,True,69,0.0033509049397402,indefinite_pinv_rank_9_of_10,-0.0001181370933748,9,Optimization terminated successfully
